t,sg,y,v
4.450000, 522.011613, 618.137545 , 480.641317,312.924235 
4.460000, 527.841994, 622.967383 , 483.764591,311.730507 
4.470000, 533.153659, 627.828353 , 486.874521,310.255592 
4.480000, 537.919281, 632.720312 , 489.969703,308.780676 
4.490000, 542.114994, 637.643102 , 493.048792,307.037090 
4.500000, 545.720542, 642.596553 , 496.110445,305.293504 
4.510000, 548.719412, 647.580479 , 499.153389,303.295468 
4.520000, 551.098936, 652.594685 , 502.176354,301.297431 
4.530000, 552.850369, 657.638962 , 505.178145,299.060777 
4.540000, 553.968949, 662.713089 , 508.157569,296.824122 
4.550000, 554.453924, 667.816835 , 511.113521,294.366194 
4.560000, 554.308560, 672.949955 , 514.044893,291.908267 
4.570000, 553.540114, 678.112198 , 516.950674,289.247813 
4.580000, 552.159796, 683.303298 , 519.829850,286.587360 
4.590000, 550.182692, 688.522984 , 522.681508,283.744412 
4.600000, 547.627670, 693.770973 , 525.504738,280.901464 
4.610000, 544.517263, 699.046976 , 528.298731,277.897208 
